group|smarts|true_smarts|contribute|composed|molecular_weight|subgroup_number|main_group|R|Q
AMCH3CH2|[CH0](=O)([N]([CH3])[CH2])([!O])|[CH0](=O)([N]([CH3])[CH2])|"{""AMCH3CH2"": 1, ""CH3"": -1, ""CH2"": -1}"|n|71.078|98|46|2.6322|2.12
AM(CH2)2|[CH0](=O)([N]([CH2])[CH2])([!O])|[CH0](=O)([N]([CH2])[CH2])|"{""AM(CH2)2"": 1, ""CH2"": -2}"|n|70.0702|99|46|2.4054|1.812
C2H5O2|[OH][CH2][CH2]O[#6,Si]|[OH][CH2][CH2]O|"{""C2H5O2"": 1, ""OH"": -1, ""CH2"": -1, ""CH2O"": -1}"|n|61.059|100|47|2.1226|1.904
C2H4O2|[OH][CH2][CH]O[#6,Si]|[OH][CH2][CH]O|"{""C2H4O2"": 1, ""OH"": -1, ""CH"": -1, ""CH2O"": -1}"|n|60.0512|101|47|1.8952|1.592
CH3S|[CH3][S][#6,Si]|[CH3][S]|"{""CH3S"": 1, ""CH3"": -1}"|n|47.0994|102|48|1.613|1.368
CH2S|[CH2][S][$([#6,Si])&!$([CH3])]|[CH2][S]|"{""CH2S"": 1, ""CH2"": -1}"|n|46.0916|103|48|1.3863|1.06
CHS|[CH][S][$([#6,Si])&!$([CH3])&!$([CH2])]|[CH][S]|"{""CHS"": 1, ""CH"": -1}"|n|45.0838|104|48|1.1589|0.748
MORPH|[CH2]1O[CH2][CH2][NH][CH2]1||"{""MORPH"": 1, ""CH2"": -2, ""CH2O"": -1, ""CH2NH"": -1}"|n|87.1202|105|49|3.474|2.796
C4H4S|[s](:[cH]:[cH]1):[cH]:[cH]:1||"{""C4H4S"": 1, ""ACH"": -4}"|n|84.1402|106|50|2.8569|2.14
C4H3S|[$([s](:[cH0]:[cH]1):[cH]:[cH]:1),$([s](:[cH]:[cH0]1):[cH]:[cH]:1)]||"{""C4H3S"": 1, ""ACH"": -3, ""AC"": -1}"|n|83.1324|107|50|2.6908|1.86
C4H2S|[$([s](:[cH]:[cH]1):[cH0]:[cH0]:1),$([s](:[cH]:[cH0]1):[cH0]:[cH]:1),$([s](:[cH0]:[cH]1):[cH0]:[cH]:1),$([s](:[cH]:[cH0]1):[cH]:[cH0]:1)]||"{""C4H2S"": 1, ""ACH"": -2, ""AC"": -2}"|n|82.1246|108|50|2.5247|1.58
NCO|[NX2H0]=[CX2H0]=[OX1H0]||"{""NCO"": 1}"|n|42.017|109|51|1.0567|0.732
(CH2)2SU|[CH2]S(=O)(=O)[CH2]||"{""(CH2)2SU"": 1, ""CH2"": -1, ""CH2S"": -1}"|n|92.1162|118|55|2.6869|2.12
CH2CHSU|[CH2]S(=O)(=O)[CH]||"{""CH2CHSU"": 1, ""CH"": -1, ""CH2S"": -1}"|n|91.1084|119|55|2.4595|1.808
IMIDAZOL|[c]1:[c]:[n]:[c]:[n]:1||"{""IMIDAZOL"": 1, ""ACH"": -3}"|n|68.0782|178|84|2.026|0.868
BTI|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F||"{""BTI"": 1, ""CF3"": -2}"|n|279.91784|179|85|5.774|4.932
